teams,link,location,schedule_result,timestamp,gmt_local_time,team1,team2,match_number,stadium,city,winner,match_datetime,match_date,match_time,local_time
"Kolkata Knight Riders vs Punjab Kings, 42nd Match",https://www.cricbuzz.com/live-cricket-scores/91528/kkr-vs-pbks-42nd-match-indian-premier-league-2024,"Eden Gardens, Kolkata","Match starts at Apr 26, 14:00 GMT",1714140000000,02:00 PM GMT	/ 07:30 PM LOCAL,Kolkata Knight Riders,Punjab Kings,42,Eden Gardens,Kolkata,,2024-04-26 10:00:00,2024-04-26,10:00:00,"['02:00 PM GMT', '/ 07:30 PM LOCAL']"
"Delhi Capitals vs Mumbai Indians, 43rd Match",https://www.cricbuzz.com/live-cricket-scores/91533/dc-vs-mi-43rd-match-indian-premier-league-2024,"Arun Jaitley Stadium, Delhi","Match starts at Apr 27, 10:00 GMT",1714212000000,10:00 AM GMT	/ 03:30 PM LOCAL,Delhi Capitals,Mumbai Indians,43,Arun Jaitley Stadium,Delhi,,2024-04-27 06:00:00,2024-04-27,06:00:00,"['10:00 AM GMT', '/ 03:30 PM LOCAL']"
"Gujarat Titans vs Royal Challengers Bengaluru, 45th Match",https://www.cricbuzz.com/live-cricket-scores/91551/gt-vs-rcb-45th-match-indian-premier-league-2024,"Narendra Modi Stadium, Ahmedabad","Match starts at Apr 28, 10:00 GMT",1714298400000,10:00 AM GMT	/ 03:30 PM LOCAL,Gujarat Titans,Royal Challengers Bengaluru,45,Narendra Modi Stadium,Ahmedabad,,2024-04-28 06:00:00,2024-04-28,06:00:00,"['10:00 AM GMT', '/ 03:30 PM LOCAL']"
"Kolkata Knight Riders vs Delhi Capitals, 47th Match",https://www.cricbuzz.com/live-cricket-scores/91564/kkr-vs-dc-47th-match-indian-premier-league-2024,"Eden Gardens, Kolkata","Match starts at Apr 29, 14:00 GMT",1714399200000,02:00 PM GMT	/ 07:30 PM LOCAL,Kolkata Knight Riders,Delhi Capitals,47,Eden Gardens,Kolkata,,2024-04-29 10:00:00,2024-04-29,10:00:00,"['02:00 PM GMT', '/ 07:30 PM LOCAL']"
"Lucknow Super Giants vs Mumbai Indians, 48th Match",https://www.cricbuzz.com/live-cricket-scores/91569/lsg-vs-mi-48th-match-indian-premier-league-2024,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow","Match starts at Apr 30, 14:00 GMT",1714485600000,02:00 PM GMT	/ 07:30 PM LOCAL,Lucknow Super Giants,Mumbai Indians,48,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,Lucknow,,2024-04-30 10:00:00,2024-04-30,10:00:00,"['02:00 PM GMT', '/ 07:30 PM LOCAL']"
"Chennai Super Kings vs Punjab Kings, 49th Match",https://www.cricbuzz.com/live-cricket-scores/91578/csk-vs-pbks-49th-match-indian-premier-league-2024,"MA Chidambaram Stadium, Chennai","Match starts at May 01, 14:00 GMT",1714572000000,02:00 PM GMT	/ 07:30 PM LOCAL,Chennai Super Kings,Punjab Kings,49,MA Chidambaram Stadium,Chennai,,2024-05-01 10:00:00,2024-05-01,10:00:00,"['02:00 PM GMT', '/ 07:30 PM LOCAL']"
"Sunrisers Hyderabad vs Rajasthan Royals, 50th Match",https://www.cricbuzz.com/live-cricket-scores/91587/srh-vs-rr-50th-match-indian-premier-league-2024,"Rajiv Gandhi International Stadium, Hyderabad","Match starts at May 02, 14:00 GMT",1714658400000,02:00 PM GMT	/ 07:30 PM LOCAL,Sunrisers Hyderabad,Rajasthan Royals,50,Rajiv Gandhi International Stadium,Hyderabad,,2024-05-02 10:00:00,2024-05-02,10:00:00,"['02:00 PM GMT', '/ 07:30 PM LOCAL']"
"Mumbai Indians vs Kolkata Knight Riders, 51st Match",https://www.cricbuzz.com/live-cricket-scores/91596/mi-vs-kkr-51st-match-indian-premier-league-2024,"Wankhede Stadium, Mumbai","Match starts at May 03, 14:00 GMT",1714744800000,02:00 PM GMT	/ 07:30 PM LOCAL,Mumbai Indians,Kolkata Knight Riders,51,Wankhede Stadium,Mumbai,,2024-05-03 10:00:00,2024-05-03,10:00:00,"['02:00 PM GMT', '/ 07:30 PM LOCAL']"
"Royal Challengers Bengaluru vs Gujarat Titans, 52nd Match",https://www.cricbuzz.com/live-cricket-scores/91600/rcb-vs-gt-52nd-match-indian-premier-league-2024,"M.Chinnaswamy Stadium, Bengaluru","Match starts at May 04, 14:00 GMT",1714831200000,02:00 PM GMT	/ 07:30 PM LOCAL,Royal Challengers Bengaluru,Gujarat Titans,52,M.Chinnaswamy Stadium,Bengaluru,,2024-05-04 10:00:00,2024-05-04,10:00:00,"['02:00 PM GMT', '/ 07:30 PM LOCAL']"
"Punjab Kings vs Chennai Super Kings, 53rd Match",https://www.cricbuzz.com/live-cricket-scores/91609/pbks-vs-csk-53rd-match-indian-premier-league-2024,"Himachal Pradesh Cricket Association Stadium, Dharamsala","Match starts at May 05, 10:00 GMT",1714903200000,10:00 AM GMT	/ 03:30 PM LOCAL,Punjab Kings,Chennai Super Kings,53,Himachal Pradesh Cricket Association Stadium,Dharamsala,,2024-05-05 06:00:00,2024-05-05,06:00:00,"['10:00 AM GMT', '/ 03:30 PM LOCAL']"
"Mumbai Indians vs Sunrisers Hyderabad, 55th Match",https://www.cricbuzz.com/live-cricket-scores/91623/mi-vs-srh-55th-match-indian-premier-league-2024,"Wankhede Stadium, Mumbai","Match starts at May 06, 14:00 GMT",1715004000000,02:00 PM GMT	/ 07:30 PM LOCAL,Mumbai Indians,Sunrisers Hyderabad,55,Wankhede Stadium,Mumbai,,2024-05-06 10:00:00,2024-05-06,10:00:00,"['02:00 PM GMT', '/ 07:30 PM LOCAL']"
"Delhi Capitals vs Rajasthan Royals, 56th Match",https://www.cricbuzz.com/live-cricket-scores/91632/dc-vs-rr-56th-match-indian-premier-league-2024,"Arun Jaitley Stadium, Delhi","Match starts at May 07, 14:00 GMT",1715090400000,02:00 PM GMT	/ 07:30 PM LOCAL,Delhi Capitals,Rajasthan Royals,56,Arun Jaitley Stadium,Delhi,,2024-05-07 10:00:00,2024-05-07,10:00:00,"['02:00 PM GMT', '/ 07:30 PM LOCAL']"
"Sunrisers Hyderabad vs Lucknow Super Giants, 57th Match",https://www.cricbuzz.com/live-cricket-scores/91641/srh-vs-lsg-57th-match-indian-premier-league-2024,"Rajiv Gandhi International Stadium, Hyderabad","Match starts at May 08, 14:00 GMT",1715176800000,02:00 PM GMT	/ 07:30 PM LOCAL,Sunrisers Hyderabad,Lucknow Super Giants,57,Rajiv Gandhi International Stadium,Hyderabad,,2024-05-08 10:00:00,2024-05-08,10:00:00,"['02:00 PM GMT', '/ 07:30 PM LOCAL']"
"Punjab Kings vs Royal Challengers Bengaluru, 58th Match",https://www.cricbuzz.com/live-cricket-scores/91645/pbks-vs-rcb-58th-match-indian-premier-league-2024,"Himachal Pradesh Cricket Association Stadium, Dharamsala","Match starts at May 09, 14:00 GMT",1715263200000,02:00 PM GMT	/ 07:30 PM LOCAL,Punjab Kings,Royal Challengers Bengaluru,58,Himachal Pradesh Cricket Association Stadium,Dharamsala,,2024-05-09 10:00:00,2024-05-09,10:00:00,"['02:00 PM GMT', '/ 07:30 PM LOCAL']"
"Gujarat Titans vs Chennai Super Kings, 59th Match",https://www.cricbuzz.com/live-cricket-scores/91650/gt-vs-csk-59th-match-indian-premier-league-2024,"Narendra Modi Stadium, Ahmedabad","Match starts at May 10, 14:00 GMT",1715349600000,02:00 PM GMT	/ 07:30 PM LOCAL,Gujarat Titans,Chennai Super Kings,59,Narendra Modi Stadium,Ahmedabad,,2024-05-10 10:00:00,2024-05-10,10:00:00,"['02:00 PM GMT', '/ 07:30 PM LOCAL']"
"Kolkata Knight Riders vs Mumbai Indians, 60th Match",https://www.cricbuzz.com/live-cricket-scores/91654/kkr-vs-mi-60th-match-indian-premier-league-2024,"Eden Gardens, Kolkata","Match starts at May 11, 14:00 GMT",1715436000000,02:00 PM GMT	/ 07:30 PM LOCAL,Kolkata Knight Riders,Mumbai Indians,60,Eden Gardens,Kolkata,,2024-05-11 10:00:00,2024-05-11,10:00:00,"['02:00 PM GMT', '/ 07:30 PM LOCAL']"
"Chennai Super Kings vs Rajasthan Royals, 61st Match",https://www.cricbuzz.com/live-cricket-scores/91663/csk-vs-rr-61st-match-indian-premier-league-2024,"MA Chidambaram Stadium, Chennai","Match starts at May 12, 10:00 GMT",1715508000000,10:00 AM GMT	/ 03:30 PM LOCAL,Chennai Super Kings,Rajasthan Royals,61,MA Chidambaram Stadium,Chennai,,2024-05-12 06:00:00,2024-05-12,06:00:00,"['10:00 AM GMT', '/ 03:30 PM LOCAL']"
"Gujarat Titans vs Kolkata Knight Riders, 63rd Match",https://www.cricbuzz.com/live-cricket-scores/91677/gt-vs-kkr-63rd-match-indian-premier-league-2024,"Narendra Modi Stadium, Ahmedabad","Match starts at May 13, 14:00 GMT",1715608800000,02:00 PM GMT	/ 07:30 PM LOCAL,Gujarat Titans,Kolkata Knight Riders,63,Narendra Modi Stadium,Ahmedabad,,2024-05-13 10:00:00,2024-05-13,10:00:00,"['02:00 PM GMT', '/ 07:30 PM LOCAL']"
"Delhi Capitals vs Lucknow Super Giants, 64th Match",https://www.cricbuzz.com/live-cricket-scores/91681/dc-vs-lsg-64th-match-indian-premier-league-2024,"Arun Jaitley Stadium, Delhi","Match starts at May 14, 14:00 GMT",1715695200000,02:00 PM GMT	/ 07:30 PM LOCAL,Delhi Capitals,Lucknow Super Giants,64,Arun Jaitley Stadium,Delhi,,2024-05-14 10:00:00,2024-05-14,10:00:00,"['02:00 PM GMT', '/ 07:30 PM LOCAL']"
"Rajasthan Royals vs Punjab Kings, 65th Match",https://www.cricbuzz.com/live-cricket-scores/91686/rr-vs-pbks-65th-match-indian-premier-league-2024,"Barsapara Cricket Stadium, Guwahati","Match starts at May 15, 14:00 GMT",1715781600000,02:00 PM GMT	/ 07:30 PM LOCAL,Rajasthan Royals,Punjab Kings,65,Barsapara Cricket Stadium,Guwahati,,2024-05-15 10:00:00,2024-05-15,10:00:00,"['02:00 PM GMT', '/ 07:30 PM LOCAL']"
"Sunrisers Hyderabad vs Gujarat Titans, 66th Match",https://www.cricbuzz.com/live-cricket-scores/91690/srh-vs-gt-66th-match-indian-premier-league-2024,"Rajiv Gandhi International Stadium, Hyderabad","Match starts at May 16, 14:00 GMT",1715868000000,02:00 PM GMT	/ 07:30 PM LOCAL,Sunrisers Hyderabad,Gujarat Titans,66,Rajiv Gandhi International Stadium,Hyderabad,,2024-05-16 10:00:00,2024-05-16,10:00:00,"['02:00 PM GMT', '/ 07:30 PM LOCAL']"
"Mumbai Indians vs Lucknow Super Giants, 67th Match",https://www.cricbuzz.com/live-cricket-scores/91699/mi-vs-lsg-67th-match-indian-premier-league-2024,"Wankhede Stadium, Mumbai","Match starts at May 17, 14:00 GMT",1715954400000,02:00 PM GMT	/ 07:30 PM LOCAL,Mumbai Indians,Lucknow Super Giants,67,Wankhede Stadium,Mumbai,,2024-05-17 10:00:00,2024-05-17,10:00:00,"['02:00 PM GMT', '/ 07:30 PM LOCAL']"
"Royal Challengers Bengaluru vs Chennai Super Kings, 68th Match",https://www.cricbuzz.com/live-cricket-scores/91704/rcb-vs-csk-68th-match-indian-premier-league-2024,"M.Chinnaswamy Stadium, Bengaluru","Match starts at May 18, 14:00 GMT",1716040800000,02:00 PM GMT	/ 07:30 PM LOCAL,Royal Challengers Bengaluru,Chennai Super Kings,68,M.Chinnaswamy Stadium,Bengaluru,,2024-05-18 10:00:00,2024-05-18,10:00:00,"['02:00 PM GMT', '/ 07:30 PM LOCAL']"
"Sunrisers Hyderabad vs Punjab Kings, 69th Match",https://www.cricbuzz.com/live-cricket-scores/91713/srh-vs-pbks-69th-match-indian-premier-league-2024,"Rajiv Gandhi International Stadium, Hyderabad","Match starts at May 19, 10:00 GMT",1716112800000,10:00 AM GMT	/ 03:30 PM LOCAL,Sunrisers Hyderabad,Punjab Kings,69,Rajiv Gandhi International Stadium,Hyderabad,,2024-05-19 06:00:00,2024-05-19,06:00:00,"['10:00 AM GMT', '/ 03:30 PM LOCAL']"
"Royal Challengers Bengaluru vs Chennai Super Kings, 1st Match",https://www.cricbuzz.com/cricket-scores/89654/rcb-vs-csk-1st-match-indian-premier-league-2024,"MA Chidambaram Stadium, Chennai",Chennai Super Kings won by 6 wkts,1711117800000,02:30 PM GMT	/ 08:00 PM LOCAL,Royal Challengers Bengaluru,Chennai Super Kings,1,MA Chidambaram Stadium,Chennai,Chennai Super Kings,2024-03-22 10:30:00,2024-03-22,10:30:00,"['02:30 PM GMT', '/ 08:00 PM LOCAL']"
"Kolkata Knight Riders vs Sunrisers Hyderabad, 3rd Match",https://www.cricbuzz.com/cricket-scores/89665/kkr-vs-srh-3rd-match-indian-premier-league-2024,"Eden Gardens, Kolkata",Kolkata Knight Riders won by 4 runs,1711202400000,02:00 PM GMT	/ 07:30 PM LOCAL,Kolkata Knight Riders,Sunrisers Hyderabad,3,Eden Gardens,Kolkata,Kolkata Knight Riders,2024-03-23 10:00:00,2024-03-23,10:00:00,"['02:00 PM GMT', '/ 07:30 PM LOCAL']"
"Gujarat Titans vs Mumbai Indians, 5th Match",https://www.cricbuzz.com/cricket-scores/89675/gt-vs-mi-5th-match-indian-premier-league-2024,"Narendra Modi Stadium, Ahmedabad",Gujarat Titans won by 6 runs,1711288800000,02:00 PM GMT	/ 07:30 PM LOCAL,Gujarat Titans,Mumbai Indians,5,Narendra Modi Stadium,Ahmedabad,Gujarat Titans,2024-03-24 10:00:00,2024-03-24,10:00:00,"['02:00 PM GMT', '/ 07:30 PM LOCAL']"
"Delhi Capitals vs Chennai Super Kings, 13th Match",https://www.cricbuzz.com/live-cricket-scores/89724/dc-vs-csk-13th-match-indian-premier-league-2024,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",Delhi Capitals won by 20 runs,1711893600000,02:00 PM GMT	/ 07:30 PM LOCAL,Delhi Capitals,Chennai Super Kings,13,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Visakhapatnam,Delhi Capitals,2024-03-31 10:00:00,2024-03-31,10:00:00,"['02:00 PM GMT', '/ 07:30 PM LOCAL']"
"Lucknow Super Giants vs Gujarat Titans, 21st Match",https://www.cricbuzz.com/live-cricket-scores/89770/lsg-vs-gt-21st-match-indian-premier-league-2024,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow","Match starts at Apr 07, 14:00 GMT",1712498400000,02:00 PM GMT	/ 07:30 PM LOCAL,Lucknow Super Giants,Gujarat Titans,21,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,Lucknow,,2024-04-07 10:00:00,2024-04-07,10:00:00,"['02:00 PM GMT', '/ 07:30 PM LOCAL']"
"Mumbai Indians vs Chennai Super Kings, 29th Match",https://www.cricbuzz.com/live-cricket-scores/91425/mi-vs-csk-29th-match-indian-premier-league-2024,"Wankhede Stadium, Mumbai","Match starts at Apr 14, 14:00 GMT",1713103200000,02:00 PM GMT	/ 07:30 PM LOCAL,Mumbai Indians,Chennai Super Kings,29,Wankhede Stadium,Mumbai,,2024-04-14 10:00:00,2024-04-14,10:00:00,"['02:00 PM GMT', '/ 07:30 PM LOCAL']"
"Punjab Kings vs Gujarat Titans, 37th Match",https://www.cricbuzz.com/live-cricket-scores/91488/pbks-vs-gt-37th-match-indian-premier-league-2024,"Punjab Cricket Association IS Bindra Stadium, Mohali","Match starts at Apr 21, 14:00 GMT",1713708000000,02:00 PM GMT	/ 07:30 PM LOCAL,Punjab Kings,Gujarat Titans,37,Punjab Cricket Association IS Bindra Stadium,Mohali,,2024-04-21 10:00:00,2024-04-21,10:00:00,"['02:00 PM GMT', '/ 07:30 PM LOCAL']"
"Lucknow Super Giants vs Rajasthan Royals, 44th Match",https://www.cricbuzz.com/live-cricket-scores/91542/lsg-vs-rr-44th-match-indian-premier-league-2024,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow","Match starts at Apr 27, 14:00 GMT",1714226400000,02:00 PM GMT	/ 07:30 PM LOCAL,Lucknow Super Giants,Rajasthan Royals,44,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,Lucknow,,2024-04-27 10:00:00,2024-04-27,10:00:00,"['02:00 PM GMT', '/ 07:30 PM LOCAL']"
"Chennai Super Kings vs Sunrisers Hyderabad, 46th Match",https://www.cricbuzz.com/live-cricket-scores/91555/csk-vs-srh-46th-match-indian-premier-league-2024,"MA Chidambaram Stadium, Chennai","Match starts at Apr 28, 14:00 GMT",1714312800000,02:00 PM GMT	/ 07:30 PM LOCAL,Chennai Super Kings,Sunrisers Hyderabad,46,MA Chidambaram Stadium,Chennai,,2024-04-28 10:00:00,2024-04-28,10:00:00,"['02:00 PM GMT', '/ 07:30 PM LOCAL']"
"Lucknow Super Giants vs Kolkata Knight Riders, 54th Match",https://www.cricbuzz.com/live-cricket-scores/91618/lsg-vs-kkr-54th-match-indian-premier-league-2024,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow","Match starts at May 05, 14:00 GMT",1714917600000,02:00 PM GMT	/ 07:30 PM LOCAL,Lucknow Super Giants,Kolkata Knight Riders,54,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,Lucknow,,2024-05-05 10:00:00,2024-05-05,10:00:00,"['02:00 PM GMT', '/ 07:30 PM LOCAL']"
"Royal Challengers Bengaluru vs Delhi Capitals, 62nd Match",https://www.cricbuzz.com/live-cricket-scores/91668/rcb-vs-dc-62nd-match-indian-premier-league-2024,"M.Chinnaswamy Stadium, Bengaluru","Match starts at May 12, 14:00 GMT",1715522400000,02:00 PM GMT	/ 07:30 PM LOCAL,Royal Challengers Bengaluru,Delhi Capitals,62,M.Chinnaswamy Stadium,Bengaluru,,2024-05-12 10:00:00,2024-05-12,10:00:00,"['02:00 PM GMT', '/ 07:30 PM LOCAL']"
"Rajasthan Royals vs Kolkata Knight Riders, 70th Match",https://www.cricbuzz.com/live-cricket-scores/91717/rr-vs-kkr-70th-match-indian-premier-league-2024,"Barsapara Cricket Stadium, Guwahati","Match starts at May 19, 14:00 GMT",1716127200000,02:00 PM GMT	/ 07:30 PM LOCAL,Rajasthan Royals,Kolkata Knight Riders,70,Barsapara Cricket Stadium,Guwahati,,2024-05-19 10:00:00,2024-05-19,10:00:00,"['02:00 PM GMT', '/ 07:30 PM LOCAL']"
